Parámetros,mean_test_f1_micro,mean_test_accuracy,mean_test_precision_micro,mean_test_recall_micro
"{'param_criterion': 'entropy', 'param_max_depth': 18, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.843,0.843,0.843,0.843
"{'param_criterion': 'entropy', 'param_max_depth': 18, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.884,0.884,0.884,0.884
"{'param_criterion': 'entropy', 'param_max_depth': 18, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.813,0.813,0.813,0.813
"{'param_criterion': 'entropy', 'param_max_depth': 18, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.890,0.890,0.890,0.890
"{'param_criterion': 'entropy', 'param_max_depth': 18, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.813,0.813,0.813,0.813
"{'param_criterion': 'entropy', 'param_max_depth': 18, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.902,0.902,0.902,0.902
"{'param_criterion': 'entropy', 'param_max_depth': 18, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.814,0.814,0.814,0.814
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.895,0.895,0.895,0.895
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.860,0.860,0.860,0.860
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.895,0.895,0.895,0.895
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.854,0.854,0.854,0.854
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.890,0.890,0.890,0.890
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.848,0.848,0.848,0.848
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.902,0.902,0.902,0.902
"{'param_criterion': 'entropy', 'param_max_depth': 19, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.814,0.814,0.814,0.814
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.901,0.901,0.901,0.901
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.854,0.854,0.854,0.854
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.884,0.884,0.884,0.884
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.831,0.831,0.831,0.831
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.890,0.890,0.890,0.890
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.797,0.797,0.797,0.797
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.902,0.902,0.902,0.902
"{'param_criterion': 'entropy', 'param_max_depth': 20, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.814,0.814,0.814,0.814
